account_id,source_game_id,champion,game_id_list,begin_time,end_time
h4bOeQjAvU6CE7aHMtl6R7-96ygiiOFdgaBFourntuDQCRGnJPN4py9p,3655425517,28,"[3655425517, 3654444516, 3652178099, 3627094955, 3626960310, 3626886867, 3626847748, 3626801721, 3625193319]",1602539311607,1604958511607
UAha5GQuiV8K7ykCSsbc1zp-8yeS6bfqS-5R4jr12kw5y1xtB3BeG1t_,3655425517,777,[3655425517],1601329711607,1604958511607
LqNwBLY5NtZn_Hz908lS5X93sXdPIDsyBcI1AStHqU8CyA,3655425517,106,"[3655425517, 3655367119, 3655308721, 3655148309, 3650668571, 3650471652, 3650384247]",1603748911607,1604958511607
ueKLLHG1VmdLnK6hZ0lsZqXlVqqcnq5Iv-CT3jupZ6jltcM,3655408570,119,"[3655408570, 3655308842, 3654944711, 3654866947, 3654853817, 3654696587, 3654562273, 3654420584, 3653870579, 3652603930, 3651513706, 3651264512, 3651137721, 3650981492, 3650703832, 3649207771, 3644913118]",1603746534401,1604956134401
TpbfP1w1uxpHLYjsXXxhI9QUEuFq8z82UZvhzWW0e1SPig,3655408570,12,"[3655408570, 3654736860, 3654635308, 3654274717, 3653927349, 3653910168, 3653080438, 3653022153, 3652918566, 3652799171, 3652489341, 3652437914, 3652375616, 3651245364, 3651034306, 3650537207, 3649984158, 3649856298, 3649624454]",1603746534401,1604956134401
cFDA2lbLN4CtfyAwkXq9N4yG45mMboZOsDvvyE1y4IAuvA,3655408570,517,[3655408570],1601327334401,1604956134401
lQhA--MUsxSl4QS6a_O3Gh2XBZfl23TX_9QE9FDS1N3e3g,3655408570,121,"[3655408570, 3655363891, 3636098799, 3620092786]",1601932134401,1604956134401
AuAMpVS8bTS_3hHMxh8h5KcU89w0W3jiwbYX7WdHHhYlNA,3655408570,54,"[3655408570, 3655403845, 3654565490, 3652499888, 3652076932, 3651152823, 3648639820]",1603746534401,1604956134401
0SRSDDJuUFR2XAuW0MZDMkbU1K-nuvRJ64q4Gl8KgZTjHw,3655408570,202,"[3655408570, 3654586163, 3654487410, 3654208220, 3653902100, 3651035512, 3650662392, 3647554343, 3647550819, 3646397348, 3646391442, 3646143688, 3645598477, 3644606841]",1603746534401,1604956134401
ko_5mepRNkFOgecJPvRxgi75l6gDN5FeBFaLjhHxmzH8qXY,3655408570,84,"[3655408570, 3654592405, 3654235945, 3653822768, 3647636849, 3645016222, 3644886818]",1603746534401,1604956134401
VOjKbBLv4qXf32eYF5fj-DqKQlbDamQNVaneAYg116QnvRg,3655408570,432,"[3655408570, 3655403891, 3655338148, 3655020225, 3654985652, 3654933869, 3654908513, 3654877953, 3654851939, 3654736860, 3654688162, 3654627080, 3654592405, 3654458370, 3654413635, 3654234497, 3654220729, 3654111976, 3653927349, 3653659659, 3653617625, 3653613476, 3653558814, 3653582135, 3653516365, 3653511594, 3653399663, 3653443676, 3653341033, 3652970531, 3652869359, 3652810694, 3652731615, 3652684333, 3652553822, 3652484618, 3652420923, 3652254330, 3652139137, 3652120445, 3652022220, 3651964764, 3651640893, 3651600521, 3651530988, 3651442904, 3651366067, 3651342134, 3651228416, 3651139292, 3650985396, 3650859114, 3650590901, 3650531885, 3650505373, 3650490755, 3650425933, 3650441004, 3650336940, 3650333198, 3649250734, 3649000112, 3648927905, 3648849966, 3647551447, 3647497128, 3647172998, 3646652301, 3645794024]",1603746534401,1604956134401
cFSbzJxpq-19hP0OQ1K9vDiZXMNDfGLlJg2chYf_hOEV3g,3655408570,120,"[3655408570, 3645351294, 3644381947, 3633721150, 3632136469]",1602536934401,1604956134401
rczoHMEB_E1XcQ2Xr_cRpF4UEbvczMRKa9745KP_9fQcRgY,3655408570,8,"[3655408570, 3616323230]",1601327334401,1604956134401
GuPKqxYinhzYvWsaKlilvb4dQD5E2iihWPokD6MdZfmbg_k,3655363891,8,"[3655363891, 3655309099, 3655231166, 3654736860, 3654592405, 3654503980, 3654416553, 3654354671, 3653813498, 3653695336, 3653659659, 3653538187, 3653582135, 3652718126, 3652741718, 3652642121, 3652396167, 3650621217, 3650512270, 3650461590, 3650407483, 3649697450, 3649658192, 3647868040, 3646685248, 3646506460, 3644676164]",1603743565877,1604953165877
1eW4BNqZvTUJhuGVK_EOGPyI97XX3N2eQI1C0LlfvF3CW0Q,3655363891,62,"[3655363891, 3655162693, 3653870579, 3653201073, 3650879923, 3649873656, 3647447249, 3647033242, 3646602328, 3646591348]",1603743565877,1604953165877
lQhA--MUsxSl4QS6a_O3Gh2XBZfl23TX_9QE9FDS1N3e3g,3655363891,121,"[3655363891, 3636098799, 3620092786]",1601324365877,1604953165877
